finding_id,scanner,cwe,canonical_id,severity,title
SEM-001,Semgrep,CWE-89,CANVULN-040,Medium,tainted sql string
SEM-002,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-003,Semgrep,CWE-501,CANVULN-029,Medium,tainted session from http request
SEM-004,Semgrep,CWE-328,CANVULN-017,Medium,use of md5
SEM-005,Semgrep,CWE-918,CANVULN-042,Medium,tainted url host
SEM-006,Semgrep,CWE-601,CANVULN-033,Medium,spring unvalidated redirect
SEM-007,Semgrep,CWE-22,CANVULN-010,Medium,httpservlet path traversal
SEM-008,Semgrep,CWE-89,CANVULN-040,Medium,tainted sql string
SEM-009,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-010,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-011,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-012,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-013,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-014,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-015,Semgrep,CWE-89,CANVULN-040,Medium,formatted sql string
SEM-016,Semgrep,CWE-89,CANVULN-040,Medium,tainted sql string
SEM-017,Semgrep,CWE-23,CANVULN-010,Medium,tainted file path
SQI-001,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""status"" 3 times."
SQI-002,SonarQube_Issues,NONE,CANVULN-045,Medium,Replace this String concatenation with Text block.
SQI-003,SonarQube_Issues,NONE,CANVULN-045,Low,"Use assertThat(actual).containsEntry(key, value) instead."
SQI-004,SonarQube_Issues,NONE,CANVULN-045,Low,"Use assertThat(actual).containsEntry(key, value) instead."
SQI-005,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""openredirect.mitigation.f"
SQI-006,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""Solution 0"" 3 times."
SQI-007,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""openredirect.failure1"" 5 "
SQI-008,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""openredirect.failure2"" 6 "
SQI-009,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""openredirect.failure3"" 3 "
SQI-010,SonarQube_Issues,NONE,CANVULN-045,Critical,"Define a constant instead of duplicating this literal ""openredirect.failure4"" 4 "
SQI-011,SonarQube_Issues,NONE,CANVULN-045,Medium,Return an empty array instead of null.
SQI-012,SonarQube_Issues,NONE,CANVULN-045,Low,"Remove this use of ""isEmpty""; it is deprecated."
SQI-013,SonarQube_Issues,NONE,CANVULN-045,Low,"Remove this use of ""isEmpty""; it is deprecated."
SQI-014,SonarQube_Issues,NONE,CANVULN-045,Low,"Remove this use of ""isEmpty""; it is deprecated."
SQI-015,SonarQube_Issues,NONE,CANVULN-045,Medium,Define and throw a dedicated exception instead of using a generic one.
SQI-016,SonarQube_Issues,NONE,CANVULN-045,Informational,Complete the task associated to this TODO comment.
SQI-017,SonarQube_Issues,NONE,CANVULN-045,Critical,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z
SQI-018,SonarQube_Issues,NONE,CANVULN-045,Medium,"Remove this unused ""userSessionData"" private field."
SQI-019,SonarQube_Issues,NONE,CANVULN-045,High,Add at least one assertion to this test case.
SQI-020,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-021,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-022,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-023,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-024,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-025,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
SQI-026,SonarQube_Issues,NONE,CANVULN-045,Informational,Remove this 'public' modifier.
